Date Time,Production
2010,4954696
2011,16520868
2012,16520868
2013,31220304
2014,48774547
2015,71956342
2016,56133598
2017,45178559
2018,46661707
2019,41768723
2010,9003620
2011,24030282
2012,24030282
2013,42083612
2014,47305552
2015,40336813
2016,35309782
2017,31500756
2018,34740049
2019,41411477
2010,6376615
2011,22016720
2012,22016720
2013,45126546
2014,68257113
2015,72990114
2016,50907535
2017,51619064
2018,58530878
2019,60195807
2010,17397849
2011,23114653
2012,23114653
2013,27883649
2014,33393119
2015,42422225
2016,49022420
2017,59236930
2018,94305681
2019,124254767
